% Lin-ZIM System
% X = 0.2089, X' = 0.0446, T_0 = 0.0963, M = 0.0139, G_s = 4.1358, B_s = 2.8004, E_0 = 1.0750, δ_0 = -0.3689
% x0 = [1.0750, -0.3689, 364.381]
% u_0 = 1
% t, ΔP, ΔQ, ΔV
0.363,8.24193333673298,5.561989449010764,0.0165
0.364,8.238067147407655,5.558695466024353,0.0165
0.365,8.234413575014692,5.555507034024678,0.0165
0.366,8.230970076647761,5.552425181079282,0.0165
0.367,8.227733862895011,5.549450716061842,0.0165
0.368,8.224701912481004,5.5465842362012445,0.0165
0.369,8.221870986700598,5.543826134676523,0.0165
0.37,8.219237643629212,5.54117660824318,0.0165
0.371,8.216798252094923,5.538635664876916,0.0165
0.372,8.214549005398723,5.536203131421352,0.0165
0.373,8.212485934770413,5.533878661226855,0.0165
0.374,8.210604922548393,5.531661741768144,0.0165
0.375,8.208901715072644,5.529551702228822,0.0165
0.376,8.207371935281069,5.527547721041598,0.0165
0.377,8.206011095000274,5.525648833373432,0.0165
0.378,8.204814606922705,5.523853938545385,0.0165
0.379,8.20377779626295,5.522161807377492,0.0165
0.38,8.202895912086806,5.5205710894494455,0.0165
0.381,8.20216413830756,5.51908032026849,0.0165
0.382,8.201577604344635,5.517687928336275,0.0165
0.383,8.201131395440578,5.5163922421071,0.0165
0.384,8.20082056263312,5.515191496830301,0.0165
0.385,8.20064013237961,5.514083841270163,0.0165
0.386,8.20058511583201,5.513067344297081,0.0165
0.387,8.200650517761105,5.512140001344278,0.0165
0.388,8.200831345129354,5.511299740724768,0.0165
0.389,8.201122615312345,5.510544429803706,0.0165
0.39,8.201519363969435,5.509871881021763,0.0165
0.391,8.202016652564696,5.509279857765503,0.0165
0.392,8.202609575539835,5.5087660800812355,0.0165
0.393,8.203293267141289,5.508328230229152,0.0165
0.394,8.204062907904122,5.507963958075024,0.0165
0.395,8.204913730795884,5.507670886317044,0.0165
0.396,8.205841027023986,5.507446615545805,0.0165
0.397,8.206840151510596,5.507288729135807,0.0165
0.398,8.207906528039375,5.507194797967114,0.0165
0.399,8.209035654078873,5.507162384976266,0.0165
0.4,8.210223105287616,5.507189049535769,0.0165
0.401,8.211464539706324,5.507272351661792,0.0165
0.402,8.212755701642964,5.5074098560501294,0.0165
0.403,8.214092425256627,5.507599135940578,0.0165
0.404,8.215470637846519,5.507837776810333,0.0165
0.405,8.216886362852476,5.50812337989716,0.0165
0.406,8.218335722573787,5.508453565553381,0.0165
0.407,8.219814940613201,5.508825976431979,0.0165
0.408,8.22132034405317,5.50923828050631,0.0165
0.409,8.22284836537161,5.509688173925157,0.0165
0.41,8.22439554410452,5.510173383705053,0.0165
0.411,8.225958528262993,5.510691670261984,0.0165
0.412,8.227534075512208,5.511240829784796,0.0165
0.413,8.229119054120083,5.511818696452757,0.0165
0.414,8.23071044368336,5.512423144499913,0.0165
0.415,8.232305335638987,5.513052090129029,0.0165
0.416,8.23390093356854,5.5137034932780065,0.0165
0.417,8.235494553303747,5.51437535924185,0.0165
0.418,8.237083622840812,5.515065740153328,0.0165
0.419,8.238665682071597,5.515772736325585,0.0165
0.42,8.24023838233943,5.516494497460115,0.0165
0.421,8.241799485827467,5.517229223723487,0.0165
0.422,8.243346864787382,5.517975166696403,0.0165
0.423,8.244878500616132,5.518730630198667,0.0165
0.424,8.246392482788506,5.519493970993729,0.0165
0.425,8.24788700765315,5.520263599376516,0.0165
0.426,8.249360377099471,5.5210379796483195,0.0165
0.427,8.250810997103022,5.5218156304824975,0.0165
0.428,8.252237376156614,5.522595125184867,0.0165
0.429,8.25363812359446,5.523375091852554,0.0165
0.43,8.255011947816449,5.524154213435224,0.0165
0.431,8.256357654419574,5.524931227702517,0.0165
0.432,8.257674144243381,5.525704927121541,0.0165
0.433,8.258960411336172,5.526474158648295,0.0165
0.434,8.260215540848579,5.527237823436852,0.0165
0.435,8.261438706860966,5.5279948764701174,0.0165
0.436,8.262629170150907,5.528744326115975,0.0165
0.437,8.263786275906968,5.529485233612563,0.0165
0.438,8.264909451394708,5.530216712486435,0.0165
0.439,8.265998203580743,5.530937927907272,0.0165
0.44,8.267052116720553,5.5316480959828285,0.0165
0.441,8.268070849915489,5.532346482997665,0.0165
0.442,8.26905413464427,5.533032404599264,0.0165
0.443,8.270001772274208,5.533705224934974,0.0165
0.444,8.270913631557006,5.53436435574324,0.0165
0.445,8.271789646114016,5.535009255402486,0.0165
0.446,8.272629811915511,5.535639427940937,0.0165
0.447,8.273434184758448,5.5362544220106145,0.0165
0.448,8.274202877746964,5.536853829828698,0.0165
0.449,8.274936058779664,5.537437286089282,0.0165
0.45,8.275633948047675,5.538004466848592,0.0165
0.451,8.276296815547116,5.538555088386564,0.0165
0.452,8.27692497860958,5.539088906047658,0.0165
0.453,8.277518799454016,5.539605713063653,0.0165
0.454,8.278078682763185,5.54010533936114,0.0165
0.455,8.27860507328776,5.540587650356307,0.0165
0.456,8.279098453480907,5.541052545739534,0.0165
0.457,8.279559341166072,5.541499958252244,0.0165
0.458,8.279988287240492,5.541929852458344,0.0165
0.459,8.280385873416815,5.542342223512551,0.0165
0.46,8.280752710005027,5.542737095927732,0.0165
0.461,8.281089433736767,5.543114522343403,0.0165
0.462,8.281396705633894,5.543474582297349,0.0165
0.463,8.28167520892311,5.543817381002298,0.0165
0.464,8.281925646998179,5.5441430481294915,0.0165
0.465,8.282148741431277,5.544451736600865,0.0165
0.466,8.28234523003471,5.544743621391548,0.0165
0.467,8.282515864974243,5.5450188983442015,0.0165
0.468,8.282661410935077,5.545277782996721,0.0165
0.469,8.282782643341347,5.545520509424736,0.0165
0.47,8.282880346630009,5.54574732910015,0.0165
0.471,8.282955312579691,5.545958509767085,0.0165
0.472,8.283008338695167,5.546154334336281,0.0165
0.473,8.283040226647772,5.546335099799132,0.0165
0.474,8.283051780772185,5.546501116162319,0.0165
0.475,8.283043806619732,5.546652705403993,0.0165
0.476,8.28301710956833,5.546790200452371,0.0165
0.477,8.282972493489147,5.546913944187531,0.0165
0.478,8.282910759469805,5.547024288467148,0.0165
